"street_name","freq"
"JLN BT MERAH",1715
"JLN DAMAI",476
"JLN DUA",104
"JLN DUSUN",59
"JLN KLINIK",264
"JLN KUKOH",178
"JLN MA'MOR",90
"JLN MEMBINA",545
"JLN PASAR BARU",36
"JLN RAJAH",340
"JLN RUMAH TINGGI",545
"JLN TECK WHYE",937
"JLN TENAGA",836
"JLN TENTERAM",181
"JLN TIGA",73
"JOO CHIAT RD",105
"JOO SENG RD",404
"JURONG EAST AVE 1",630
"JURONG EAST ST 13",930
"JURONG EAST ST 21",2505
"JURONG EAST ST 24",1449
"JURONG EAST ST 31",563
"JURONG EAST ST 32",1258
"JURONG WEST AVE 1",1539
"JURONG WEST AVE 3",268
"JURONG WEST AVE 5",474
"JURONG WEST CTRL 1",1527
"JURONG WEST ST 24",368
"JURONG WEST ST 25",337
"JURONG WEST ST 41",1847
"JURONG WEST ST 42",2530
"JURONG WEST ST 51",39
"JURONG WEST ST 52",2194
"JURONG WEST ST 61",2204
"JURONG WEST ST 62",171
"JURONG WEST ST 64",1695
"JURONG WEST ST 65",2602
"JURONG WEST ST 71",715
"JURONG WEST ST 72",109
"JURONG WEST ST 73",616
"JURONG WEST ST 74",685
"JURONG WEST ST 75",192
"JURONG WEST ST 81",2626
"JURONG WEST ST 91",1710
"JURONG WEST ST 92",634
"JURONG WEST ST 93",524
"KALLANG BAHRU",507
"KANG CHING RD",787
"KELANTAN RD",138
"KENT RD",119
"KG ARANG RD",97
"KG BAHRU HILL",18
"KG KAYU RD",47
"KIM CHENG ST",43
"KIM KEAT AVE",583
"KIM KEAT LINK",276
"KIM PONG RD",19
"KIM TIAN PL",227
"KIM TIAN RD",541
"KING GEORGE'S AVE",131
"KLANG LANE",127
"KRETA AYER RD",39
"LENGKOK BAHRU",422
"LENGKONG TIGA",378
"LIM LIAK ST",76
"LOMPANG RD",524
"LOR 1 TOA PAYOH",2446
"LOR 2 TOA PAYOH",1317
"LOR 3 GEYLANG",68
"LOR 3 TOA PAYOH",209
"LOR 4 TOA PAYOH",1229
"LOR 5 TOA PAYOH",1138
"LOR 6 TOA PAYOH",234
"LOR 7 TOA PAYOH",1408
"LOR 8 TOA PAYOH",1443
"LOR AH SOO",815
"LOR LEW LIAN",496
"LOR LIMAU",247
"LOWER DELTA RD",44
"MACPHERSON LANE",207
"MARGARET DR",13
"MARINE CRES",1058
"MARINE DR",1095
"MARINE PARADE CTRL",2
"MARINE TER",1293
"MARSILING CRES",300
"MARSILING DR",3115
"MARSILING LANE",737
"MARSILING RD",274
"MARSILING RISE",725
"MCNAIR RD",608
"MEI LING ST",891
"MOH GUAN TER",65
"MONTREAL DR",407
"MOULMEIN RD",35
"NEW MKT RD",51
"NEW UPP CHANGI RD",1373
"NTH BRIDGE RD",146
"OLD AIRPORT RD",109
"OWEN RD",67
"PANDAN GDNS",810
"PASIR RIS DR 1",586
"PASIR RIS DR 10",814
"PASIR RIS DR 3",414
"PASIR RIS DR 4",953
"PASIR RIS DR 6",1727
"PASIR RIS ST 11",1812
"PASIR RIS ST 12",822
"PASIR RIS ST 13",375
"PASIR RIS ST 21",1892
"PASIR RIS ST 41",96
"PASIR RIS ST 51",1010
"PASIR RIS ST 52",830
"PASIR RIS ST 53",668
"PASIR RIS ST 71",2898
"PASIR RIS ST 72",627
"PAYA LEBAR WAY",450
"PENDING RD",1368
"PETIR RD",1580
"PINE CL",344
"PIPIT RD",283
"POTONG PASIR AVE 1",1205
"POTONG PASIR AVE 2",149
"POTONG PASIR AVE 3",316
"PUNGGOL CTRL",1218
"PUNGGOL DR",596
"PUNGGOL EAST",80
"PUNGGOL FIELD",1498
"PUNGGOL FIELD WALK",167
"PUNGGOL PL",37
"PUNGGOL RD",110
"QUEEN'S CL",354
"QUEEN'S RD",217
"QUEEN ST",126
"QUEENSWAY",113
"RACE COURSE RD",170
"REDHILL CL",721
"REDHILL LANE",150
"REDHILL RD",222
"RIVERVALE CRES",1257
"RIVERVALE DR",2236
"RIVERVALE ST",779
"RIVERVALE WALK",735
"ROCHOR RD",168
"ROWELL RD",170
"SAGO LANE",107
"SAUJANA RD",215
"SEGAR RD",917
"SELEGIE RD",237
"SELETAR WEST FARMWAY 6",8
"SEMBAWANG CL",1226
"SEMBAWANG CRES",412
"SEMBAWANG DR",1385
"SEMBAWANG VISTA",297
"SEMBAWANG WAY",10
"SENGKANG CTRL",146
"SENGKANG EAST RD",187
"SENGKANG EAST WAY",853
"SENGKANG WEST AVE",58
"SENG POH RD",11
"SENJA LINK",150
"SENJA RD",1539
"SERANGOON AVE 1",307
"SERANGOON AVE 2",1180
"SERANGOON AVE 3",1146
"SERANGOON AVE 4",1262
"SERANGOON CTRL",1172
"SERANGOON CTRL DR",309
"SERANGOON NTH AVE 1",1790
"SERANGOON NTH AVE 2",246
"SERANGOON NTH AVE 3",803
"SERANGOON NTH AVE 4",1761
"SHUNFU RD",607
"SILAT AVE",84
"SIMEI RD",439
"SIMEI ST 1",2370
"SIMEI ST 2",238
"SIMEI ST 4",578
"SIMEI ST 5",376
"SIMS AVE",88
"SIMS DR",648
"SIMS PL",161
"SIN MING AVE",929
"SIN MING RD",358
"SMITH ST",106
"SPOTTISWOODE PK RD",162
"ST. GEORGE'S LANE",419
"ST. GEORGE'S RD",781
"STIRLING RD",972
"STRATHMORE AVE",688
"TAH CHING RD",702
"TAMAN HO SWEE",265
